fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
a97b319c-ac15-47aa-ac2d-bbd85f72abe2,1684254652119,133262354222295976,76,705.756,231.133,DefaultBoxAndWhiskerCategoryDataset.java,149,32,,,,3.67341,3.83699,576
9358b1b7-32c5-45b1-97d1-4b9fdbc3d8cc,1684254652119,133262354198296398,77,575.316,193.233,DefaultBoxAndWhiskerCategoryDataset.java,147,10,,,,3.6667,3.76663,2364
909fb5fb-4b6e-461f-8751-6f6b1a3a75c9,1684254652119,133262354193628727,78,680.083,227.722,DefaultBoxAndWhiskerCategoryDataset.java,149,25,,,,3.53688,3.64235,440
bc4d5da0-b9e7-4eff-8846-3c11c697035e,1684254652119,133262354187109851,79,603.96,233.16,DefaultBoxAndWhiskerCategoryDataset.java,149,14,,,,3.43166,3.53793,635
3ef78013-7112-483a-bf34-ccb98bb9e912,1684254652119,133262354165127820,80,611.843,225.41,DefaultBoxAndWhiskerCategoryDataset.java,151,11,,,,3.22063,3.32628,2183
dbb15293-0101-4d71-8ede-79a56e32c6ca,1684254652119,133262354163045325,81,593.208,257.917,DefaultBoxAndWhiskerCategoryDataset.java,151,13,,,,3.09894,3.17883,192
bc89db96-3a08-4d0c-8ca7-a71caefd6660,1684254652119,133262354153291810,82,641.724,244.448,DefaultBoxAndWhiskerCategoryDataset.java,150,20,,,,3.18252,3.25086,958
04e48cf8-a2f8-4550-9f4f-85496a3952ef,1684254652119,133262354099612409,83,660.586,340.276,DefaultBoxAndWhiskerCategoryDataset.java,156,22,,,,3.13512,3.17595,243
de35f742-93ac-48e5-bbfe-51f4b9a1dd44,1684254652119,133262354032459554,84,532.207,188.069,Bug-19.txt,32,5,,,,3.25149,3.34172,232
1ed45264-5aa3-461c-bb94-c0f0589dc898,1684254652119,133262354028213302,85,608.2,197.8,Bug-19.txt,33,13,,,,3.27464,3.39048,240
151486a4-bc4f-4707-97bc-ac3bac27d2c9,1684254652119,133262354024714677,86,657.154,232.436,Bug-19.txt,35,23,,,,3.24143,3.33837,316
a25ea79a-6067-4207-8bed-15f2c1e3dcf9,1684254652119,133262354019697966,87,546.982,235.842,Bug-19.txt,35,7,,,,3.18559,3.27747,485
4a7ecdcd-df7f-475b-b6c4-94e50e3b5886,1684254652119,133262354015716275,88,559.121,380.485,Bug-19.txt,54,6,,,,3.29426,3.40956,375
51cb9dfe-c154-4db3-a992-efc850438117,1684254652119,133262354013211329,89,551.423,221.038,Bug-19.txt,43,7,,,,3.40762,3.48634,216
f5dd5ff0-7a14-46e5-a61d-97657a4af80d,1684254652119,133262353990215470,90,672,415.682,Bug-19.txt,59,25,,,,2.94673,3.05695,184
c0d04a8c-bd75-42ed-8fe6-c8ebb881b95a,1684254652119,133262353987882923,91,640.146,408.268,DefaultBoxAndWhiskerCategoryDataset.java,161,19,,,,3.29606,3.36076,11150
daa8f89f-eb37-4e85-a60f-d5e324111a70,1684254652119,133262353985049288,92,626,478.032,DefaultBoxAndWhiskerCategoryDataset.java,165,17,,,,3.17524,3.24466,266
36eb442f-368b-4230-85fd-8c1339cf413e,1684254652119,133262353969215579,93,669.4,389.767,DefaultBoxAndWhiskerCategoryDataset.java,172,24,,,,2.93764,3.04175,508
48e5e55a-1e7c-457c-87a9-65f4438256a9,1684254652119,133262353955790941,94,675.217,478.252,DefaultBoxAndWhiskerCategoryDataset.java,178,29,,,,2.98346,3.1185,1316
89a8f021-3691-4078-8033-dc73579952a2,1684254652119,133262353947777467,95,676.693,412.533,DefaultBoxAndWhiskerCategoryDataset.java,161,19,,,,3.01129,3.13288,776
a9fe5aab-c9a1-4649-9e7a-32812264f352,1684254652119,133262353942963848,96,692.882,395.882,DefaultBoxAndWhiskerCategoryDataset.java,160,28,,,,2.89899,3.00711,466
d850476f-f3ae-484f-ae84-3b3932ed5bc9,1684254652119,133262353939046017,97,813.929,415.095,DefaultBoxAndWhiskerCategoryDataset.java,161,46,,,,2.83287,2.92603,365
6ead7a3b-8f27-485f-9df7-2170491b00c0,1684254652119,133262353932551738,98,660.3,464.86,DefaultBoxAndWhiskerCategoryDataset.java,166,21,,,,2.91185,3.03762,616
a3318668-0ad6-488a-b859-e79eefb4f60a,1684254652119,133262353930712865,99,878.333,446.333,DefaultBoxAndWhiskerCategoryDataset.java,158,53,,,,2.84839,3.01033,133
43de19d0-cfa1-4a10-a411-ae444028f4cc,1684254652119,133262353914630951,100,777.8,397.8,DefaultBoxAndWhiskerCategoryDataset.java,151,39,,,,2.91612,3.04312,84
3d490d58-a3b7-4ba9-8275-3f845922e2ce,1684254652119,133262353910964403,101,724.778,396.333,DefaultBoxAndWhiskerCategoryDataset.java,151,32,,,,2.94305,3.03076,241
28daf9cc-96a3-43c8-81ef-3517a40f5536,1684254652119,133262353902964746,102,643.603,396.691,DefaultBoxAndWhiskerCategoryDataset.java,152,20,,,,3.07673,3.21277,725
54a49a02-d8a6-481b-b4bc-ed775eefea38,1684254652119,133262353901048544,103,726.727,340.455,DefaultBoxAndWhiskerCategoryDataset.java,148,32,,,,3.09442,3.19847,174
